minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2960,-0.00014172697,322.1051,313.27975,-0.00014173037,323.53415,1.1240938,1.0384849,289.9307,273.15,323.70523,0.00028345734,321.98685,323.458,0.9999757,1.0,0.17971659,0.15873016,2695.7488,3571.4285,321.15,321.15,177630.08
2961,-0.00014172406,321.3671,313.18085,-0.00014172746,323.14212,1.1240222,1.0384228,289.9652,273.15,323.41757,0.00028345152,321.3537,323.14838,0.9999757,1.0,0.3468653,0.3125,5202.979,7031.25,321.15,321.15,177689.5
2962,-0.00014172248,321.31833,313.05316,-0.00014172589,323.39734,1.1239845,1.038389,289.9981,273.15,322.76062,0.00028344837,321.3189,323.42026,0.9999757,1.0,0.44984686,0.43076923,6747.703,9692.308,321.15,321.15,177749.28
2963,-0.00014172166,321.37085,312.90552,-0.00014172506,323.79675,1.1239645,1.0383707,290.02908,273.15,322.46252,0.00028344672,321.38855,323.84076,0.9999757,1.0,0.36599573,0.359375,5489.936,8085.9375,321.15,321.15,177809.14
2964,-0.00014172122,321.31018,312.74393,-0.00014172462,324.08792,1.123954,1.0383611,290.05832,273.15,322.47147,0.00028344584,321.30023,324.10098,0.9999757,1.0,0.4636954,0.46153846,6955.431,10384.615,321.15,321.15,177869.38
2965,-0.00014172099,320.18524,312.5732,-0.00014172439,323.25153,1.1239486,1.038356,290.0859,273.15,322.58426,0.00028344538,320.01126,323.12405,0.9999757,1.0,0.0,0.12698413,0.0,2857.1428,319.15,319.15,177929.9
2966,-0.00014172088,317.7645,312.4007,-0.00014172427,325.06796,1.1239458,1.0383534,290.11154,273.15,322.32373,0.00028344514,317.61987,325.4288,0.9999757,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,177989.5
2967,-0.00014172083,316.07727,312.2263,-0.00014172422,329.54398,1.1239445,1.0383523,290.13583,273.15,321.76022,0.00028344506,315.97787,329.81924,0.9999757,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178049.5
2968,-0.00013732858,314.90012,312.05225,-0.00014242953,332.91348,1.1130707,1.029414,290.1588,273.15,322.10004,0.0002797581,314.83078,333.11557,0.96421427,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178110.12
2969,-6.755928e-05,314.24084,311.8463,-0.00017018229,335.03564,1.2293639,1.1592386,290.18,273.15,322.9906,0.00023774157,314.1874,335.10718,0.41710037,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178169.56
2970,-7.949566e-06,314.08337,311.58884,-0.00024121435,334.5434,2.4903166,2.380184,290.19995,273.15,324.81906,0.00024916392,314.0321,334.46304,0.034337994,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178229.33
2971,-4.046272e-06,314.0592,311.40137,-0.00027362735,332.17136,3.5170455,3.3635747,290.21997,273.15,328.8572,0.00027767362,314.00687,332.08728,0.014595419,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178289.5
2972,-4.0540417e-06,314.038,311.2596,-0.00027449834,330.37415,3.5500355,3.3951275,290.24228,273.15,331.36728,0.00027855238,313.98462,330.32428,0.014576675,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178349.5
2973,-4.0758287e-06,314.0164,311.15482,-0.0002759771,329.30377,3.6077726,3.450345,290.2681,273.15,331.16724,0.00028005295,313.96222,329.27252,0.0145764835,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178409.5
2974,-4.1004723e-06,313.99432,311.11594,-0.00027764574,328.60016,3.6735637,3.513265,290.2971,273.15,330.1115,0.0002817462,313.93893,328.57913,0.014576484,1.0,0.0,1.0,0.0,22500.0,319.15,319.15,178469.28
2975,-4.1112617e-06,313.97153,311.16443,-0.0002783763,328.12885,3.702628,3.541061,290.32892,273.15,329.1443,0.00028248757,313.91476,328.11536,0.0145764835,1.0,0.0,1.0,0.0,22500.0,316.6984,316.6984,178529.36
2976,-4.1171434e-06,313.94818,311.30872,-0.00027877456,327.8418,3.7185402,3.5562787,290.36276,273.15,328.4412,0.0002828917,313.8907,327.83432,0.0145764835,1.0,0.0,1.0,0.0,22500.0,315.15,315.15,178589.5
2977,-4.120672e-06,313.925,311.537,-0.0002790135,327.70822,3.7281086,3.5654297,290.39777,273.15,327.97382,0.00028313417,313.86816,327.7058,0.0145764835,1.0,0.0,1.0,0.0,22500.0,315.15,315.15,178649.17
2978,-4.122662e-06,313.90204,311.83237,-0.00027914823,327.70428,3.7335124,3.5705957,290.43436,273.15,327.68793,0.0002832709,313.8478,327.70627,0.0145764835,1.0,0.0,1.0,0.0,22500.0,315.15,315.15,178709.78
2979,-3.9414003e-06,313.88104,312.14682,-0.000266875,327.8765,21.711594,-8.039825,290.47107,273.15,327.56067,0.0002708164,313.83118,327.8939,0.0145764835,1.0,0.0,1.0,0.0,22500.0,315.15,315.15,178769.56
