DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/04  20:45:00,6.1,56.31858,0,56.31858
 01/04  21:00:00,6.1,56.31858,0,56.31858
 01/04  21:15:00,6.1,56.31858,0,56.31858
 01/04  21:30:00,6.1,56.31858,0,56.31858
 01/04  21:45:00,6.1,56.31858,0,56.31858
 01/04  22:00:00,6.1,56.31858,0,56.31858
 01/04  22:15:00,6.075,56.31858,0,56.31858
 01/04  22:30:00,6.05,56.31858,0,56.31858
 01/04  22:45:00,6.025,56.31858,0,56.31858
 01/04  23:00:00,6,56.31858,0,56.31858
 01/04  23:15:00,6,56.31858,0,56.31858
 01/04  23:30:00,6,56.31858,0,56.31858
 01/04  23:45:00,6,56.31858,0,56.31858
 01/04  24:00:00,6,56.31858,0,56.31858
 01/05  00:15:00,6,56.31858,0,56.31858
 01/05  00:30:00,6,56.31858,0,56.31858
 01/05  00:45:00,6,56.31858,0,56.31858
 01/05  01:00:00,6,56.31858,0,56.31858
 01/05  01:15:00,6.05,56.31858,0,56.31858
 01/05  01:30:00,6.1,56.31858,0,56.31858
 01/05  01:45:00,6.15,56.31858,0,56.31858
 01/05  02:00:00,6.2,56.31858,0,56.31858
 01/05  02:15:00,6.3,56.31858,0,56.31858
 01/05  02:30:00,6.4,56.31858,0,56.31858
 01/05  02:45:00,6.5,56.31858,0,56.31858
 01/05  03:00:00,6.6,56.31858,0,56.31858
 01/05  03:15:00,6.7,56.31858,0,56.31858
 01/05  03:30:00,6.8,56.31858,0,56.31858
 01/05  03:45:00,6.9,56.31858,0,56.31858
 01/05  04:00:00,7,56.31858,0,56.31858
 01/05  04:15:00,7,56.31858,0,56.31858
 01/05  04:30:00,7,56.31858,0,56.31858
 01/05  04:45:00,7,56.31858,0,56.31858
 01/05  05:00:00,7,56.31858,0,56.31858
 01/05  05:15:00,7,56.31858,0,56.31858
 01/05  05:30:00,7,56.31858,0,56.31858
 01/05  05:45:00,7,56.31858,0,56.31858
 01/05  06:00:00,7,56.31858,0,110.93416
 01/05  06:15:00,7,110.93416,0,110.12017
 01/05  06:30:00,7,110.12017,0,109.78508
 01/05  06:45:00,7,109.78508,0,109.69839
 01/05  07:00:00,7,109.69839,0,144.15987
 01/05  07:15:00,7.2,144.15987,0,144.29068
 01/05  07:30:00,7.4,144.29068,0,144.28355
 01/05  07:45:00,7.6,144.28355,0,144.27895
 01/05  08:00:00,7.8,144.27895,0,183.35564
 01/05  08:15:00,7.925,183.35564,0,183.43995
 01/05  08:30:00,8.05,183.43995,0,183.46237
 01/05  08:45:00,8.175,183.46237,0,183.4822
 01/05  09:00:00,8.3,183.4822,0,198.96866
 01/05  09:15:00,8.5,198.96866,0,198.99665
 01/05  09:30:00,8.7,198.99665,0,199.01552
 01/05  09:45:00,8.9,199.01552,0,199.03239
 01/05  10:00:00,9.1,199.03239,0,209.18096
 01/05  10:15:00,9,209.18096,0,209.20761
 01/05  10:30:00,8.9,209.20761,0,209.23257
 01/05  10:45:00,8.8,209.23257,0,209.29874
 01/05  11:00:00,8.7,209.29874,0,210.43601
 01/05  11:15:00,8.65,210.43601,0,210.52125
 01/05  11:30:00,8.6,210.52125,0,210.60151
 01/05  11:45:00,8.55,210.60151,0,210.67898
 01/05  12:00:00,8.5,210.67898,0,213.70806
 01/05  12:15:00,8.4,213.70806,0,213.78117
 01/05  12:30:00,8.3,213.78117,0,213.83521
 01/05  12:45:00,8.2,213.83521,0,213.88757
 01/05  13:00:00,8.1,213.88757,0,214.1201
 01/05  13:15:00,8.3,214.1201,0,214.17975
 01/05  13:30:00,8.5,214.17975,0,214.24817
 01/05  13:45:00,8.7,214.24817,0,214.31454
 01/05  14:00:00,8.9,214.31454,0,208.1901
 01/05  14:15:00,9.05,208.1901,0,208.24077
 01/05  14:30:00,9.2,208.24077,0,208.27909
 01/05  14:45:00,9.35,208.27909,0,208.31891
 01/05  15:00:00,9.5,208.31891,0,196.36447
 01/05  15:15:00,9.7,196.36447,0,196.40877
 01/05  15:30:00,9.9,196.40877,0,196.44632
 01/05  15:45:00,10.1,196.44632,0,196.47544
 01/05  16:00:00,10.3,196.47544,0,157.97828
 01/05  16:15:00,10.3,157.97828,0,157.89546
 01/05  16:30:00,10.3,157.89546,0,157.85713
 01/05  16:45:00,10.3,157.85713,0,157.8243
